Name,Country,SkillOffset,AggressionOffset
Mateo Silva,Brazil,-1,6
Yuki Tanaka,Japan,1,-2
Lukas Weber,Germany,2,10
Lars Johansson,Sweden,-1,-7
Chloe Dupont,France,-2,4
Liam O'Connor,Ireland,0,-9
Aris Papadopoulos,Greece,1,8
Diego Ramirez,Mexico,-1,1
Georgi Gorgiev,Bulgaria,2,-4
Sven de Jong,Netherlands,0,-10
Oliver Smith,Great Britain,1,-3
Giovanni Rossi,Italy,2,-6
Aleksandr Petrov,Russia,-2,-1
Carlos Sainz,Spain,1,5
Santiago Gomez,Colombia,0,-8
Finn Nielsen,Denmark,-1,9
Ivan Horvat,Croatia,-2,-5
Noah Lindstrom,Sweden,2,3
Arthur Dubois,France,0,-2
Min-jun Kim,South Korea,1,-10
Ethan Walker,Australia,-1,2
Nikola Tesla,Serbia,2,7
Jonas Schmidt,Germany,-1,-6
Ahmed Mansour,Egypt,0,4
Lucas Hansen,Denmark,1,-4
Mateo Hernandez,Argentina,-2,1
Krzysztof Nowak,Poland,1,-1
Andrei Moreau,Romania,0,9
Pierre Marais,South Africa,-1,-3
Ryan Campbell,Canada,2,-7
David Miller,USA,-1,6
Luca Bianchi,Italy,0,3
Hans Mueller,Austria,1,10
Gary Visser,South Africa,-2,-5
Michal Cieslak,Poland,2,-8
Jack Harrison,New Zealand,0,2
Gabriel Costa,Portugal,-1,-9
Emma Wilson,Great Britain,1,5
Sanjay Patel,India,-2,-2
Jan de Vries,Netherlands,2,8
Pierre Laurent,Belgium,0,1
Aiden Gallagher,Ireland,-1,-4
Alexander Spirichev,Russia,1,7
Marc Meyer,South Africa,-2,-6
Kenji Sato,Japan,0,4
Antonio Fernandez,Spain,1,-1
Mason Evans,USA,2,9
Bjorn Larsson,Norway,-1,3
Stefan Huber,Switzerland,0,-3
Bruno Santos,Brazil,1,0
